time,norm,mean_x,mean_y,mean_z,mean_r,kinetic_energy,potential_energy,total_energy,captured_probability,reflected_probability,transmitted_probability
1.82,0.8576490399920867,-21.948052760380676,1.5634553308224256e-14,1.6179865770075002e-14,22.25136217478802,0.296864317510828,-0.039603173182622804,0.2572611443282052,2.9741294490390147e-07,0.6318962762131027,0.22575246636603918
1.83,0.8571819973154169,-21.940503466203882,1.572645160660774e-14,1.6293901927092425e-14,22.243617673836038,0.29668320613336857,-0.039571630276245,0.2571115758571236,3.014196362821841e-07,0.6322167156323134,0.22496498026346706
1.84,0.8567145918386715,-21.932937079354215,1.5819473294289946e-14,1.6450464379737414e-14,22.235856223660097,0.29650153575017874,-0.03954009307760715,0.2569614426725716,3.0543515271015195e-07,0.6325354254272312,0.22417886097628753
1.85,0.856246811462801,-21.925353223170664,1.581843001561452e-14,1.648595920690045e-14,22.22807744356108,0.29631930452066146,-0.03950856112996961,0.2568107433906919,3.094588101914362e-07,0.6328523894894477,0.22339411251454322
1.86,0.8557786443146099,-21.917751527746002,1.5977261282837034e-14,1.662654267723257e-14,22.220280959658957,0.29613651069632213,-0.03947703398521114,0.256659476711111,3.134899210665862e-07,0.6331675919051737,0.2226107389195152
1.87,0.8553100787432737,-21.910131629823443,1.6011710965238293e-14,1.6766525976832015e-14,22.212466404788366,0.295953152619447,-0.039445511203695244,0.2565076414157518,3.175277942494434e-07,0.6334810169520804,0.22182874426339905
1.8800000000000001,0.8548411033169325,-21.902493172695447,1.612352387956608e-14,1.681886194729208e-14,22.20463341839641,0.29576922872179673,-0.03941399235413933,0.2563552363676574,3.2157173546469083e-07,0.6337926490962266,0.22104813264897064
1.8900000000000001,0.8543717068193556,-21.894835806104734,1.6146523693462524e-14,1.6979439933231056e-14,22.196781646442705,0.29558473752331715,-0.039382477013486704,0.25620226050983047,3.2562104748666316e-07,0.6341024729890644,0.22026890820924364
1.9000000000000001,0.8539018782466747,-21.887159186147407,1.6166022401750235e-14,1.707437769867313e-14,22.188910741301523,0.2953996776308648,-0.03935096476678106,0.2560487128640837,3.29675030379079e-07,0.6344104734645282,0.2194910751071165
1.9100000000000001,0.8534316068041897,-21.879462975178075,1.6393257594713288e-14,1.718324550625135e-14,22.181020361665965,0.2952140477369485,-0.039319455207043795,0.2558945925299047,3.3373298173578726e-07,0.6347166355361973,0.21871463753501064
1.92,0.8529608819032349,-21.871746841717055,1.6547143840285293e-14,1.7238252280756085e-14,22.17311017245426,0.29502784661848647,-0.03928794793515364,0.2557398986833328,3.3779419692236963e-07,0.6350209443945382,0.2179395997144997
1.93,0.8524896931581148,-21.864010460359417,1.6609277433491647e-14,1.7307724463812966e-14,22.165179844717876,0.294841073135578,-0.03925644255972895,0.25558463057584907,3.41857969318505e-07,0.6353233854042164,0.21716596589592913
1.94,0.8520180303830999,-21.85625351168595,1.6697270109097466e-14,1.7486790689472213e-14,22.15722905555163,0.2946537262302907,-0.03922493869701211,0.2554287875332786,3.459235905609848e-07,0.6356239441014818,0.2163937403580272
1.95,0.8515458835894818,-21.848475682175952,1.675589598930273e-14,1.7533295030583313e-14,22.149257488005567,0.2944658049254615,-0.03919343597075658,0.2552723689547049,3.499903507873742e-07,0.635922606191624,0.21562292740750702
1.96,0.8510732429826933,-21.840676664121787,1.6875469425972843e-14,1.7675148887526484e-14,22.141264830998736,0.2942773083235137,-0.039161934012115915,0.25511537431139775,3.540575388800425e-07,0.6362193575464943,0.21485353137866
1.97,0.8506000989594783,-21.83285615554519,1.6997913125754958e-14,1.7762118699729397e-14,22.13325077923455,0.29408823560528685,-0.039130432459535174,0.25495780314575167,3.581244427107272e-07,0.6365141842020956,0.2140855566329401
1.98,0.850126442105124,-21.82501386011516,1.6997685360998862e-14,1.7769765129391033e-14,22.125215033117986,0.2938985860288816,-0.03909893095864437,0.2547996550702372,3.6219034938530066e-07,0.6368070723562349,0.21331900755853997
